project_name,class_name,wmc,cbo,dit,lcom,rfc,noc,numberOfLinesOfCode,numberOfMethods,numberOfVersionsUntil,numberOfAuthorsUntil,linesAddedUntil,maxLinesAddedUntil,avgLinesAddedUntil,linesRemovedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,codeChurnUntil,maxCodeChurnUntil,avgCodeChurnUntil,ageWithRespectTo,weightedAgeWithRespectTo,defective
eclipse,org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithAnnotations,13.0,5,3,10,12.0,1,35.0,5.0,2,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,127.0,69.2857,0
eclipse,org::eclipse::jdt::internal::core::util::ConstantPool,15.0,3,2,10,55.0,0,72.0,5.0,10,3,60.0,32.0,6.0,61.0,33.0,6.1,-1.0,0.0,-0.1,322.714,97.4809,0
eclipse,org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference,12.0,7,6,15,17.0,2,52.0,6.0,47,5,320.0,52.0,6.80851,262.0,52.0,5.57447,58.0,20.0,1.23404,367.0,92.4138,0
eclipse,org::eclipse::jdt::internal::compiler::impl::IntConstant,27.0,5,2,66,14.0,0,55.0,12.0,37,6,284.0,64.0,7.67568,258.0,64.0,6.97297,26.0,22.0,0.702703,367.0,81.749,0
eclipse,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferencePattern,53.0,7,4,28,47.0,0,214.0,8.0,82,8,2577.0,325.0,31.4268,2733.0,325.0,33.3293,-156.0,81.0,-1.90244,367.0,77.5985,1
eclipse,org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression,11.0,5,6,3,17.0,0,32.0,3.0,29,5,184.0,69.0,6.34483,185.0,69.0,6.37931,-1.0,6.0,-0.0344828,367.0,49.3261,0
eclipse,org::eclipse::jdt::core::dom::SuperFieldAccess,25.0,5,3,105,51.0,0,96.0,15.0,39,7,465.0,167.0,11.9231,264.0,167.0,6.76923,201.0,74.0,5.15385,333.143,70.569,0
eclipse,org::eclipse::jdt::internal::core::ExternalPackageFragmentRoot,20.0,6,5,78,22.0,0,56.0,13.0,7,1,23.0,11.0,3.28571,6.0,4.0,0.857143,17.0,10.0,2.42857,16.0,2.03106,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::MethodScope,110.0,55,3,105,93.0,0,378.0,15.0,89,9,2001.0,399.0,22.4831,1889.0,399.0,21.2247,112.0,117.0,1.25843,367.0,118.103,1
eclipse,org::eclipse::jdt::internal::compiler::CompilationResult,72.0,31,1,190,72.0,0,245.0,20.0,81,9,1835.0,349.0,22.6543,1569.0,379.0,19.3704,266.0,79.0,3.28395,367.0,130.299,1
eclipse,org::eclipse::jdt::internal::core::util::KeyToSignature,56.0,5,2,300,130.0,0,258.0,25.0,32,4,413.0,92.0,12.9062,122.0,26.0,3.8125,291.0,80.0,9.09375,175.714,24.9862,0
eclipse,org::eclipse::jdt::internal::core::jdom::DOMType,94.0,14,4,703,162.0,0,419.0,38.0,58,7,1851.0,721.0,31.9138,1730.0,721.0,29.8276,121.0,77.0,2.08621,367.0,49.3741,0
eclipse,org::eclipse::jdt::internal::compiler::ast::ForStatement,91.0,11,3,15,106.0,0,343.0,6.0,86,8,1629.0,335.0,18.9419,1535.0,335.0,17.8488,94.0,65.0,1.09302,367.0,76.4774,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::MissingTypeBinding,7.0,3,5,10,12.0,0,34.0,5.0,2,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,16.5714,13.5714,0
eclipse,org::eclipse::jdt::internal::compiler::ast::TrueLiteral,11.0,3,6,21,14.0,0,39.0,7.0,24,4,167.0,70.0,6.95833,174.0,70.0,7.25,-7.0,8.0,-0.291667,367.0,66.3601,0
eclipse,org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3,6.0,1,7,15,10.0,0,21.0,6.0,11,6,21.0,4.0,1.90909,17.0,4.0,1.54545,4.0,3.0,0.363636,282.0,82.7755,0
eclipse,org::eclipse::jdt::internal::formatter::FormatJavadocText,68.0,6,2,136,54.0,0,197.0,17.0,7,2,139.0,75.0,19.8571,28.0,13.0,4.0,111.0,63.0,15.8571,9.14286,1.58068,0
eclipse,org::eclipse::jdt::internal::core::ImportDeclarationElementInfo,0.0,1,4,0,1.0,0,0.0,1.0,10,6,16.0,5.0,1.6,28.0,18.0,2.8,-12.0,5.0,-1.2,271.0,86.4107,0
eclipse,org::eclipse::jdt::internal::formatter::comment::SubstitutionTextReader,21.0,5,1,55,29.0,2,81.0,11.0,7,1,12.0,4.0,1.71429,10.0,4.0,1.42857,2.0,2.0,0.285714,168.857,93.3452,0
eclipse,org::eclipse::jdt::internal::compiler::ast::NormalAnnotation,16.0,6,5,10,13.0,1,45.0,5.0,18,6,211.0,84.0,11.7222,53.0,14.0,2.94444,158.0,84.0,8.77778,222.714,21.6087,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::SourceTypeBinding,456.0,55,4,1275,446.0,1,1461.0,51.0,224,12,6579.0,1041.0,29.3705,5717.0,1041.0,25.5223,862.0,146.0,3.84821,367.0,115.991,1
eclipse,org::eclipse::jdt::internal::core::SetContainerOperation,36.0,14,3,15,51.0,0,167.0,6.0,10,2,86.0,60.0,8.6,62.0,51.0,6.2,24.0,9.0,2.4,105.0,22.3239,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::AnnotationBinding,53.0,13,1,45,53.0,1,151.0,10.0,12,5,233.0,165.0,19.4167,78.0,34.0,6.5,155.0,131.0,12.9167,184.714,78.8087,0
eclipse,org::eclipse::jdt::internal::core::LRUCacheEnumerator,3.0,1,1,3,3.0,0,11.0,3.0,15,5,121.0,69.0,8.06667,119.0,69.0,7.93333,2.0,6.0,0.133333,367.0,68.9906,0
eclipse,org::eclipse::jdt::internal::core::JavaModelInfo,8.0,3,3,3,7.0,0,27.0,3.0,27,5,152.0,42.0,5.62963,182.0,32.0,6.74074,-30.0,41.0,-1.11111,367.0,62.4445,0
eclipse,org::eclipse::jdt::core::dom::MethodDeclaration,81.0,15,3,595,156.0,0,319.0,35.0,73,8,2096.0,439.0,28.7123,1160.0,439.0,15.8904,936.0,282.0,12.8219,333.143,84.0883,0
eclipse,org::eclipse::jdt::internal::core::search::matching::AndPattern,15.0,2,5,10,10.0,0,50.0,5.0,50,8,574.0,115.0,11.48,707.0,115.0,14.14,-133.0,14.0,-2.66,367.0,119.907,1
eclipse,org::eclipse::jdt::internal::eval::CodeSnippetSuperReference,8.0,3,7,28,10.0,0,25.0,8.0,26,6,112.0,54.0,4.30769,89.0,54.0,3.42308,23.0,7.0,0.884615,355.714,79.8367,0
eclipse,org::eclipse::jdt::internal::core::search::matching::OrPattern,25.0,8,3,28,24.0,0,69.0,8.0,60,7,986.0,170.0,16.4333,1102.0,170.0,18.3667,-116.0,35.0,-1.93333,367.0,74.1623,1
eclipse,org::eclipse::jdt::internal::core::util::HashSetOfArray,31.0,5,1,36,30.0,0,109.0,9.0,3,1,149.0,149.0,49.6667,149.0,149.0,49.6667,0.0,149.0,0.0,60.0,1.28571,0
eclipse,org::eclipse::jdt::internal::core::util::ClassFileStruct,21.0,35,1,55,16.0,16,85.0,11.0,14,5,53.0,9.0,3.78571,61.0,9.0,4.35714,-8.0,0.0,-0.571429,322.714,68.9003,0
eclipse,org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference,11.0,7,6,10,24.0,0,35.0,5.0,37,6,177.0,65.0,4.78378,167.0,65.0,4.51351,10.0,11.0,0.27027,367.0,82.0153,0
eclipse,org::eclipse::jdt::internal::compiler::env::AccessRuleSet,22.0,16,1,10,18.0,0,62.0,5.0,16,4,151.0,30.0,9.4375,109.0,31.0,6.8125,42.0,19.0,2.625,169.143,46.8515,0
eclipse,org::eclipse::jdt::internal::core::search::indexing::IndexAllProject,30.0,13,2,15,58.0,0,207.0,6.0,110,9,1350.0,176.0,12.2727,1190.0,176.0,10.8182,160.0,30.0,1.45455,367.0,92.3705,0
eclipse,org::eclipse::jdt::internal::compiler::codegen::ObjectCache,25.0,3,1,36,24.0,0,83.0,9.0,31,6,571.0,152.0,18.4194,578.0,152.0,18.6452,-7.0,6.0,-0.225806,367.0,61.5161,0
eclipse,org::eclipse::jdt::internal::core::util::ClassFileAttribute,5.0,7,2,6,10.0,17,18.0,4.0,10,3,29.0,9.0,2.9,30.0,10.0,3.0,-1.0,0.0,-0.1,322.714,50.9852,0
eclipse,org::eclipse::jdt::internal::compiler::ast::ForeachStatement,84.0,19,3,15,172.0,0,451.0,6.0,84,8,2092.0,395.0,24.9048,1163.0,62.0,13.8452,929.0,395.0,11.0595,223.429,46.9666,1
eclipse,org::eclipse::jdt::core::dom::NodeEventHandler,11.0,1,1,55,11.0,1,43.0,11.0,14,4,279.0,92.0,19.9286,43.0,10.0,3.07143,236.0,88.0,16.8571,224.857,8.69329,0
eclipse,org::eclipse::jdt::internal::eval::CodeSnippetClassFile,29.0,13,2,1,42.0,0,166.0,2.0,61,8,667.0,241.0,10.9344,705.0,241.0,11.5574,-38.0,5.0,-0.622951,367.0,79.6989,1
eclipse,org::eclipse::jdt::internal::compiler::flow::FinallyFlowContext,63.0,8,2,28,85.0,0,264.0,8.0,36,5,842.0,188.0,23.3889,593.0,97.0,16.4722,249.0,123.0,6.91667,367.0,157.823,0
eclipse,org::eclipse::jdt::internal::compiler::SourceJavadocParser,49.0,6,3,6,24.0,0,107.0,4.0,13,4,74.0,29.0,5.69231,50.0,29.0,3.84615,24.0,29.0,1.84615,139.714,13.749,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::UnresolvedReferenceBinding,18.0,11,4,15,18.0,0,64.0,6.0,50,8,271.0,42.0,5.42,217.0,42.0,4.34,54.0,27.0,1.08,367.0,128.633,0
eclipse,org::eclipse::jdt::internal::core::CreateImportOperation,20.0,17,3,21,49.0,0,83.0,7.0,49,7,405.0,136.0,8.26531,338.0,136.0,6.89796,67.0,17.0,1.36735,367.0,104.855,0
eclipse,org::eclipse::jdt::internal::core::builder::ReferenceCollection,48.0,8,1,10,37.0,1,140.0,5.0,28,7,407.0,225.0,14.5357,365.0,225.0,13.0357,42.0,32.0,1.5,329.0,74.1846,1
eclipse,org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression,18.0,8,5,21,39.0,0,70.0,7.0,74,8,1181.0,247.0,15.9595,1310.0,247.0,17.7027,-129.0,33.0,-1.74324,367.0,74.9741,1
eclipse,org::eclipse::jdt::core::dom::NodeSearcher,4.0,1,2,1,2.0,0,11.0,2.0,9,4,17.0,4.0,1.88889,21.0,6.0,2.33333,-4.0,0.0,-0.444444,256.571,48.3193,0
eclipse,org::eclipse::jdt::internal::core::util::AnnotationComponent,7.0,5,2,10,12.0,0,27.0,5.0,6,3,148.0,71.0,24.6667,6.0,4.0,1.0,142.0,71.0,23.6667,222.857,10.582,0
eclipse,org::eclipse::jdt::core::dom::BreakStatement,16.0,4,3,66,35.0,0,59.0,12.0,34,7,316.0,123.0,9.29412,181.0,123.0,5.32353,135.0,60.0,3.97059,333.143,70.9878,0
eclipse,org::eclipse::jdt::internal::core::ASTHolderCUInfo,0.0,1,4,0,1.0,0,0.0,1.0,13,7,52.0,17.0,4.0,7.0,4.0,0.538462,45.0,17.0,3.46154,226.571,29.2555,0
eclipse,org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType,3.0,2,4,3,5.0,0,12.0,3.0,11,5,18.0,5.0,1.63636,21.0,5.0,1.90909,-3.0,0.0,-0.272727,319.714,89.1905,0
eclipse,org::eclipse::jdt::internal::compiler::ast::ImportReference,10.0,20,2,10,10.0,5,35.0,5.0,44,6,292.0,61.0,6.63636,271.0,61.0,6.15909,21.0,16.0,0.477273,367.0,78.2143,0
eclipse,org::eclipse::jdt::internal::core::builder::ClasspathJar,34.0,11,2,45,51.0,0,108.0,10.0,41,8,535.0,87.0,13.0488,363.0,87.0,8.85366,172.0,41.0,4.19512,329.0,80.2275,0
eclipse,org::eclipse::jdt::internal::eval::VariablesInfo,7.0,3,1,3,5.0,0,25.0,3.0,18,4,134.0,64.0,7.44444,136.0,64.0,7.55556,-2.0,5.0,-0.111111,367.0,53.8454,0
eclipse,org::eclipse::jdt::internal::core::DeleteResourceElementsOperation,30.0,9,3,10,34.0,0,90.0,5.0,52,7,355.0,130.0,6.82692,355.0,130.0,6.82692,0.0,10.0,0.0,367.0,51.1952,0
eclipse,org::eclipse::jdt::internal::core::InternalNamingConventions,80.0,11,1,55,89.0,0,377.0,11.0,24,7,267.0,108.0,11.125,124.0,44.0,5.16667,143.0,64.0,5.95833,278.571,145.973,1
eclipse,org::eclipse::jdt::internal::core::search::IndexQueryRequestor,0.0,6,1,1,2.0,5,0.0,2.0,9,5,12.0,4.0,1.33333,11.0,4.0,1.22222,1.0,1.0,0.111111,236.0,61.1071,0
eclipse,org::eclipse::jdt::internal::compiler::flow::SwitchFlowContext,6.0,4,2,10,13.0,2,23.0,5.0,42,6,254.0,53.0,6.04762,255.0,53.0,6.07143,-1.0,5.0,-0.0238095,367.0,84.9809,0
eclipse,org::eclipse::jdt::core::dom::LineComment,9.0,4,3,36,19.0,0,31.0,9.0,19,5,101.0,37.0,5.31579,22.0,4.0,1.15789,79.0,37.0,4.15789,229.714,16.587,0
eclipse,org::eclipse::jdt::internal::compiler::ast::JavadocSingleNameReference,8.0,6,7,3,12.0,2,30.0,3.0,17,6,80.0,15.0,4.70588,37.0,6.0,2.17647,43.0,9.0,2.52941,239.143,49.5089,0
eclipse,org::eclipse::jdt::internal::compiler::ast::SubRoutineStatement,11.0,9,3,28,14.0,2,31.0,8.0,19,5,70.0,23.0,3.68421,89.0,23.0,4.68421,-19.0,11.0,-1.0,270.143,145.004,0
eclipse,org::eclipse::jdt::internal::compiler::ProcessTaskManager,25.0,5,1,10,28.0,0,140.0,5.0,7,1,94.0,34.0,13.4286,73.0,26.0,10.4286,21.0,11.0,3.0,9.57143,3.71581,0
eclipse,org::eclipse::jdt::core::dom::SwitchStatement,22.0,6,3,91,48.0,0,86.0,14.0,39,8,431.0,164.0,11.0513,258.0,164.0,6.61538,173.0,74.0,4.4359,333.143,72.3752,0
eclipse,org::eclipse::jdt::internal::core::search::matching::SuperTypeReferenceLocator,25.0,4,2,21,18.0,0,67.0,7.0,22,8,105.0,23.0,4.77273,66.0,23.0,3.0,39.0,19.0,1.77273,248.571,69.2898,1
eclipse,org::eclipse::jdt::internal::core::SourceMethod,57.0,20,6,378,126.0,1,222.0,28.0,84,8,919.0,251.0,10.9405,803.0,251.0,9.55952,116.0,18.0,1.38095,367.0,87.5335,0
eclipse,org::eclipse::jdt::internal::core::hierarchy::IndexBasedHierarchyBuilder,56.0,28,2,36,149.0,0,423.0,9.0,132,8,2132.0,535.0,16.1515,2129.0,535.0,16.1288,3.0,39.0,0.0227273,367.0,74.4663,0
eclipse,org::eclipse::jdt::internal::core::util::CommentRecorderScanner,3.0,2,2,1,3.0,0,10.0,2.0,8,4,12.0,4.0,1.5,10.0,4.0,1.25,2.0,1.0,0.25,228.143,40.2857,1
eclipse,org::eclipse::jdt::internal::core::util::StackMapAttribute,7.0,4,3,6,9.0,0,33.0,4.0,5,2,144.0,82.0,28.8,1.0,1.0,0.2,143.0,82.0,28.6,228.857,59.0307,0
eclipse,org::eclipse::jdt::core::dom::SuperMethodInvocation,38.0,6,3,171,72.0,0,136.0,19.0,45,7,813.0,187.0,18.0667,414.0,187.0,9.2,399.0,93.0,8.86667,333.143,98.4973,0
eclipse,org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall,14.0,6,4,3,18.0,0,41.0,3.0,28,5,265.0,76.0,9.46429,256.0,76.0,9.14286,9.0,6.0,0.321429,367.0,52.4016,0
eclipse,org::eclipse::jdt::internal::formatter::old::CodeFormatter,24.0,6,1,1,38.0,0,131.0,2.0,19,6,317.0,121.0,16.6842,312.0,120.0,16.4211,5.0,18.0,0.263158,229.857,51.1739,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::CaptureBinding,47.0,8,5,45,70.0,0,210.0,10.0,33,4,397.0,54.0,12.0303,280.0,53.0,8.48485,117.0,53.0,3.54545,164.714,42.6312,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::ParameterizedMethodBinding,6.0,7,3,10,13.0,1,34.0,5.0,49,9,630.0,89.0,12.8571,197.0,43.0,4.02041,433.0,89.0,8.83673,224.143,62.839,0
eclipse,org::eclipse::jdt::internal::compiler::ast::FieldDeclaration,87.0,38,4,28,105.0,5,241.0,8.0,121,10,1517.0,223.0,12.5372,1385.0,237.0,11.4463,132.0,39.0,1.09091,367.0,130.518,0
eclipse,org::eclipse::jdt::internal::compiler::lookup::InferenceContext,31.0,6,1,15,34.0,0,116.0,6.0,5,2,26.0,11.0,5.2,10.0,4.0,2.0,16.0,7.0,3.2,103.286,51.945,0
eclipse,org::eclipse::jdt::core::dom::AssertStatement,24.0,5,3,91,49.0,0,98.0,14.0,38,7,453.0,172.0,11.9211,269.0,172.0,7.07895,184.0,77.0,4.84211,333.143,69.9451,0
eclipse,org::eclipse::jdt::internal::core::search::matching::PackageDeclarationPattern,4.0,2,4,3,7.0,0,17.0,3.0,49,7,497.0,97.0,10.1429,583.0,97.0,11.898,-86.0,19.0,-1.7551,367.0,51.8896,1
eclipse,org::eclipse::jdt::core::dom::InternalASTRewrite,35.0,12,2,105,88.0,0,163.0,15.0,15,7,86.0,17.0,5.73333,52.0,11.0,3.46667,34.0,15.0,2.26667,221.0,46.3405,0
eclipse,org::eclipse::jdt::internal::compiler::classfmt::ClassFileReader,246.0,22,3,630,210.0,0,724.0,36.0,111,9,5118.0,788.0,46.1081,5065.0,788.0,45.6306,53.0,279.0,0.477477,367.0,80.9683,0
eclipse,org::eclipse::jdt::internal::core::search::JavaSearchParticipant,12.0,10,2,28,25.0,0,46.0,8.0,21,7,52.0,15.0,2.47619,227.0,82.0,10.8095,-175.0,2.0,-8.33333,236.0,27.4478,0
eclipse,org::eclipse::jdt::internal::core::ImportContainer,22.0,11,4,55,34.0,1,63.0,11.0,44,8,286.0,82.0,6.5,252.0,82.0,5.72727,34.0,21.0,0.772727,367.0,62.7033,0
eclipse,org::eclipse::jdt::core::dom::TypeParameter,23.0,6,2,105,50.0,0,91.0,15.0,36,7,597.0,165.0,16.5833,87.0,12.0,2.41667,510.0,165.0,14.1667,239.571,13.5219,0
eclipse,org::eclipse::jdt::internal::compiler::env::NameEnvironmentAnswer,14.0,8,1,45,12.0,0,34.0,10.0,30,6,929.0,78.0,30.9667,902.0,78.0,30.0667,27.0,16.0,0.9,367.0,30.1708,0
eclipse,org::eclipse::jdt::core::CompletionContext,31.0,3,2,120,43.0,0,123.0,16.0,18,4,599.0,151.0,33.2778,51.0,24.0,2.83333,548.0,151.0,30.4444,169.857,73.1803,1
eclipse,org::eclipse::jdt::internal::core::index::EntryResult,19.0,7,1,15,16.0,0,56.0,6.0,19,7,240.0,46.0,12.6316,215.0,44.0,11.3158,25.0,10.0,1.31579,234.571,21.7625,0
eclipse,org::eclipse::jdt::internal::compiler::problem::AbortCompilation,5.0,13,1,1,11.0,1,14.0,2.0,26,7,207.0,50.0,7.96154,164.0,50.0,6.30769,43.0,14.0,1.65385,367.0,104.823,0
eclipse,org::eclipse::jdt::core::dom::SynchronizedStatement,27.0,6,3,91,54.0,0,106.0,14.0,38,7,484.0,172.0,12.7368,296.0,172.0,7.78947,188.0,73.0,4.94737,333.143,72.0003,0
eclipse,org::eclipse::jdt::core::dom::DefaultCommentMapper,102.0,6,1,78,67.0,0,393.0,13.0,45,8,1727.0,444.0,38.3778,722.0,107.0,16.0444,1005.0,430.0,22.3333,229.0,25.5065,0
eclipse,org::eclipse::jdt::internal::core::util::EnclosingMethodAttribute,13.0,4,3,28,23.0,0,50.0,8.0,9,3,234.0,103.0,26.0,26.0,15.0,2.88889,208.0,103.0,23.1111,228.857,15.5336,0
eclipse,org::eclipse::jdt::internal::compiler::ast::ArrayInitializer,56.0,16,4,15,75.0,0,195.0,6.0,72,7,873.0,188.0,12.125,818.0,188.0,11.3611,55.0,14.0,0.763889,367.0,101.333,0
eclipse,org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName,2.0,1,3,1,5.0,0,9.0,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.714,0.0,0
eclipse,org::eclipse::jdt::internal::compiler::impl::ShortConstant,12.0,3,2,66,14.0,0,37.0,12.0,35,6,177.0,54.0,5.05714,201.0,54.0,5.74286,-24.0,5.0,-0.685714,367.0,57.4762,0
